index,HMBCX,MNMCX,PATCX,PB01,PB02,PB03,PB04,PB05,PB06,PB07,PB08,PB09,PB11,PB12,PB14,PB15,PB16,PSGCX,PB19,PB10,PB13,PB18
2,0.9100915922787098,0.8425429326409626,0.9527330894700864,0.9285928531559527,0.8071591539210385,0.8943857912575292,0.8269475911407809,0.835859699111841,0.8713069815958127,0.9407395236581529,0.9596445594737184,0.9412289309195274,0.9175200157237908,0.8996490531357467,0.18389568675348203,0.7998474852474118,0.8361077901327838,0.9168212848616483,nan,nan,nan,nan
2_dis,111.97523650425397,203.91210677805807,112.6848396545338,80.66523696381162,109.21256312252548,160.59967841723696,201.0936901343421,252.69127645525526,222.67022296486664,136.97547278137864,109.06268780548224,131.91290669049602,143.65949418499224,275.98730147234284,441.04663291398913,274.7362422284148,286.3863051207678,175.33032644399674,nan,nan,nan,nan
3,0.8592588778420814,0.8601111511273332,0.8550255144312835,0.9458465928227784,0.7459780942187927,0.7928808548117856,0.6605630065272919,0.6997361571344205,0.6758989802965134,0.8337954622895007,0.9225908219212033,0.8551511297250489,0.9208929493747746,0.812579603977078,nan,0.5978760009539289,0.9174522936233382,0.8832031046205312,nan,nan,nan,nan
3_dis,218.51167924188775,252.3622690027129,238.8454326898299,190.82316747098133,230.0179005226289,259.5019767968465,304.5348146923962,346.6197330213616,300.7611258546197,248.37852602394267,170.3729223647398,213.67686095616764,218.12474182665161,336.07866584009724,nan,341.66527197107825,312.6005101138924,260.52142053887246,nan,nan,nan,nan
8,nan,0.7495812346303865,0.8070724093016055,0.8639877071379851,0.8299699338980194,0.7137799824382782,0.5455909120824578,0.7468906687738888,0.5548563964940117,0.7399394754950069,0.8123029795836858,0.8028270537389548,0.7721119045159608,0.836672436512223,nan,0.9999999999999998,0.9025351765683185,0.7298624310820432,nan,nan,nan,nan
8_dis,nan,196.13951905388336,67.71239653578309,73.22187619479132,81.84106330571507,149.55025475127195,181.91885718632338,237.10484908470835,219.77600895614407,117.57215506207633,117.55431739924548,138.2118256527044,131.07862643919646,255.2666432022442,nan,274.6766139366893,281.9142470259814,149.4964203168987,nan,nan,nan,nan
73,0.7539321348454402,0.6889183434255077,nan,0.7885805838401792,0.6556419975353065,0.6933455484302631,0.7031980824756787,0.7272265067028143,0.6396167275558461,0.7507370995759478,0.8040145909552964,0.7753280950960031,0.7004255661990922,0.754054316805739,nan,nan,0.7238900829436211,nan,nan,nan,nan,nan
73_dis,62.26412431655059,155.91095363133618,nan,96.33046151481422,116.4707715733614,189.8489867112182,223.15379458574762,279.09933584020246,260.92786301710885,156.68027316932333,94.38004830489979,173.1720763846162,95.13275375358712,216.06966710333614,nan,nan,240.17220790912617,nan,nan,nan,nan,nan
90,0.9491932107238036,nan,0.9346825925021415,0.9218023192299156,0.9411924307019598,0.9292358576893558,0.7399907538742673,0.7184565347721235,0.6466178875174315,0.954879903083325,0.9525286360029228,0.9607876911953251,0.9220409269631304,0.6624568219277376,nan,0.6362349777001814,0.6731514410282269,0.9045464105641392,nan,nan,nan,nan
90_dis,100.49292123083656,nan,71.53962115935695,143.00628410102942,122.1050827701888,192.54281612951965,203.19463157729874,256.8172992537903,264.36327187907096,155.75376789597686,176.78945217082082,206.9701150810853,150.07389405217114,225.91513827606784,nan,318.6250310809667,284.2538609729863,131.73743631095002,nan,nan,nan,nan
122,nan,nan,nan,0.8944414187494099,0.8970973108209833,0.9130740012412739,0.9068117937898267,0.9602689643976304,0.9634688933396607,0.9527213458984382,0.7691982728219359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
122_dis,nan,nan,nan,260.1306587887501,217.25997311505165,150.1042067446095,105.52504559555354,57.98413785740857,113.04248048611692,175.5670508385008,365.0220019579156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
206,0.7533025742651767,0.7795252691990184,0.5928714700087307,0.7952168982503337,0.735374068760858,0.7647391497722349,0.9047674000639573,nan,0.7837167020798045,0.8235687701069716,0.5675348624918454,0.8555757169702035,0.7034081986115546,nan,nan,0.7159708903478854,nan,0.4980213873857042,nan,nan,nan,nan
206_dis,260.4998801335484,390.31244531123644,197.4320292426401,195.45648101623067,150.76442497475344,93.50574985905028,49.490490523207725,nan,92.3511790575706,111.62216655605567,299.1949953204372,149.72755536767932,321.26053883719266,nan,nan,123.36112941536896,nan,331.2611210455098,nan,nan,nan,nan
231,0.9443419706042966,0.9031122374446404,0.9765805161380544,0.8907268919221181,0.9146739488195368,0.9272266566710445,0.8335535334357579,nan,nan,0.971195105052624,0.9861542800821712,0.963809009061938,nan,0.9501755929804386,nan,0.6524660303492387,nan,0.9289409930778201,nan,nan,nan,nan
231_dis,59.99104491035197,161.42450358403795,74.62596325288962,90.50038361626898,108.0850201802185,182.12657426659342,214.78155485132325,nan,nan,148.4930695354257,97.5051217712788,167.21900117548603,nan,220.35192045773485,nan,309.0715823456903,nan,116.58073035519021,nan,nan,nan,nan
245,0.8758738450288248,nan,0.9003937722647282,0.885145569094048,0.7631660387389171,0.8418305048581541,0.9450947753149995,0.8972281049294379,0.9069189929401211,0.8843018508206766,0.9454318269860436,0.9174696779545155,0.9182051313882231,nan,0.6015048215245542,0.819405464808664,nan,nan,0.9478862941081139,nan,nan,nan
245_dis,219.8589584304603,nan,157.17946910117396,158.63577434391593,112.63089512322388,71.81339658217723,43.85721750154609,82.8125789729021,103.49157436470033,78.12507893333624,260.55282715158427,126.28641402445142,280.5494870823532,nan,272.1228228009014,147.83557607430657,nan,nan,220.77845537176952,nan,nan,nan
246,0.6250744048866648,nan,nan,0.8678243566440107,0.7022608457462866,0.8044291690453969,0.8975397281843885,0.9463398581882437,0.8742230409729985,0.898437361053705,0.6467181769836807,nan,0.16910274604843564,nan,nan,0.6392008898517783,nan,nan,nan,0.7025525458824519,nan,nan
246_dis,266.852480902675,nan,nan,200.15489910578435,156.3523667410026,95.97174229913206,52.42044847067761,46.03373582817498,88.50453435437592,116.30966833873867,304.2252555663176,nan,327.4220649573784,nan,nan,116.87762806952898,nan,nan,nan,106.25651388938019,nan,nan
247,0.8627566973052327,0.7831078234517003,0.7674728731168604,0.767295987862987,0.6164453639877596,0.6734990401100932,nan,nan,nan,0.6645334337307353,0.86287804783563,0.8054048845528108,0.8734839448031406,0.8445477926189051,nan,nan,nan,0.8537212858254352,nan,nan,0.7746464423258402,nan
